SMILES,bioclass
CCOc1cc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Cl)cn5)n(C)c4c3)CCC2)ccc1C=CC(=O)OCOC(=O)C(C)(C)C,1
CCN1CCN(C(c2ccc(Cl)cc2)c2ccc(Cl)cc2)CC1,0
COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCN(c3c(F)ccc(Cl)c3F)C(=O)C1=O)c1cc-2ccn1,1
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C(=O)N(CC)CC)c(Cl)c1Cl)C(F)(F)F,1
Cc1c(Nc2c(C#N)cncc2C=Cc2cccc(CN3CCCCC3)n2)ccc2[nH]ccc12,0
CN1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)c5ccn(CC(F)(F)F)c5n4)cc3)cc2)CC1,0
O=S1(=O)CCC(COc2ccc3c(c2)CCC2(CCN(C4CCC4)CC2)O3)CC1,1
C[C@@H]1C[C@H](N)CN(c2ccncc2NC(=O)c2csc(-c3c(F)cccc3F)n2)C1,0
CCc1ccc(S(=O)(=O)c2nnn3c2nc(NCc2cccs2)c2sccc23)cc1,0
N#Cc1c(-c2ccc(C(F)(F)F)cc2)cc(NCCN2CCCC2)n2c1nc1ccccc12,1
O=C(O)c1c(O)c(Cc2ccc(Cl)cc2)nc2c3c(ccc12)CCCC3,0
CS(=O)(=O)c1cc(-c2cccc(-c3ccnc4c(C(F)(F)F)cccc34)c2)ccc1F,0
CCN(C)C(=O)N1CC(N)C(c2ccc(Cl)cc2Cl)C1,1
Cn1c(=O)nc2n(CCC3CC3)nc(-c3ccc4c(c3)OC(F)(F)O4)nc-2c1=O,1
CCOC(=O)[C@H]1CCCC[C@H](NC(=O)C=Cc2cc(Cl)ccc2-n2cnnn2)c2cc(ccn2)-c2ccc(NC(=O)OC)cc2N1,1
N#Cc1cnc2ccc(-c3c(-c4ccc(F)c(Cl)c4)ncn3CCO)nn12,1
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)NCCc5ccccn5)cc4)cc3)nc21,0
Cc1cc(C)nc(NC(=S)N2CCN(c3ccc(C(F)(F)F)cn3)CC2)c1,1
Fc1cc2nc(CNc3nc(N4CCOCC4)nc4c3ncn4-c3cccnc3)[nH]c2cc1F,0
Cn1c(=O)c(F)c(Nc2ccc(I)cc2F)c2c(=O)n(C[C@@H](O)CO)cnc21,1
CNCCC(c1ccc2cc(F)ccc2c1)n1nnc(C)n1,0
CC(C)(C(=O)NC1CCCCC1)N1CCN(C2CCCC2)CC1,0
C=C(c1ccc(Cl)cc1)[C@H]1OOC2(CCCCC2)O[C@@H]1c1ccc(Cl)cc1,0
O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(c3ccc(C(F)(F)F)cc3)CC2)cc1F,0
O=C(N[C@H](c1ccccc1)C1CC1)c1ccc2n[nH]c(-c3ccc(N4[C@H]5CC[C@H]4CC(O)C5)cc3)c2c1,1
O=C(N[C@H](CC1CC1)c1ccccn1)c1ccc2n[nH]c(-c3ccc(N4[C@H]5CC[C@H]4CC(O)C5)cc3)c2c1,1
O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(c3ccc(F)c(F)c3)CC2)cc1F,0
CC(C)CN1C(=O)CN(Cc2ccc(-c3ccc(F)c(CN4CCS(=O)(=O)CC4)n3)cc2)C1=O,0
CC(C)(C)c1ccc(-c2c(C(=O)N3CCN(C(=O)C4CC4)CC3)cnc3ccc(F)cc23)cc1,0
CCC1=C(c2nc(C3CCCCC3)cs2)[C@H](c2ccc(O)c(Cl)c2)NC(=O)N1,0
Cc1c2c(n3c1CNCCC[C@H](C)Nc1cc-3ccc1C(N)=O)CC(C)(C)CC2=O,0
Cc1ccc2c(NCc3ccc(NC(=O)c4ccc(F)cc4)cc3)nc(N3CCCCC3)nc2c1,0
Fc1cccc(-n2cnc3c(NCc4nc5c(F)c(F)ccc5[nH]4)nc(N4CCOCC4)nc32)c1,0
CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@H]2CCCCOc3ccc(cc3)C[C@@H](C(=O)O)NC(=O)[C@H](Cc3ccc4ccccc4c3)NC(=O)[C@@H]3C[C@@H](CN3C(=O)[C@@H](NC(=O)[C@H](C)NC)C(C)(C)C)n3cc(nn3)COc3ccc(cc3)C[C@@H](NS(=O)(=O)C3CC3)NC(=O)[C@H](Cc3ccc4ccccc4c3)NC(=O)[C@@H]1C2)C(C)(C)C,1
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0
CC(C)(C#Cc1ccc(NC(=O)CSc2nnnn2-c2ccc(C3CC3)cc2Cl)c(Cl)c1)OCC(=O)O,0
NCc1c(-c2ccc(Cl)cc2Cl)ccc2[nH]cnc12,1
CC(C)(CO)c1ccc(-c2ccc(C#N)cn2)cc1,1
NC1CN(c2cc(-c3cccc(S(=O)(=O)N4CCOCC4)c3)ncn2)CC1c1cc(F)c(F)cc1F,1
COc1ccc2c(OC[C@@H]3C[C@H]4C(=O)N(C)CCCCC=C[C@@H]5C[C@@]5(C(=O)NS(=O)(=O)C5(C)CC5)NC(=O)N34)cc(-c3nc(C(C)C)cs3)nc2c1C,0
CCOc1cc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Cl)cn5)n(C)c4c3)CCC2)nnc1C=CC(=O)O,1
Cn1cnc(S(=O)(=O)N(CCN(Cc2cncn2C)c2ccc(C#N)cc2)CC2CCN(C(=O)OC(C)(C)C)CC2)c1,1
COc1ccccc1N1CCN(C(=O)c2cc(-c3ccc(Cl)cc3)n(C)n2)CC1,1
C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(OCc3ccccn3)c(F)c2)n1,0
CC(=O)c1ccc2c(C(CC(F)(F)F)c3cccs3)c(-c3ccccc3)[nH]c2c1,0
Cc1nc(-c2cc3cc(OCC(C)C)ccc3[nH]2)sc1C(=O)O,1
